1,Abilene Christian,0.04122368057815692
2,Air Force,0.04471964140354676
3,Akron,0.04019736200264835
4,Alabama A&M,0.04549300764151178
5,Alabama-Birmingham,0.06934484414953611
6,Alabama State,0.05644038607258046
7,Alabama,0.08314984346772585
8,Albany (NY),0.04838239707688041
9,Alcorn State,0.058879264309131055
10,American,0.04199098404125698
11,Appalachian State,0.04944461446408166
12,Arizona State,0.0559051203234882
13,Arizona,0.06829954821707966
14,Little Rock,0.031996532906598915
15,Arkansas-Pine Bluff,0.04540369651576301
16,Arkansas State,0.03791425360555622
17,Arkansas,0.07574325921653974
18,Army,0.051959838836547485
19,Auburn,0.08368011416120308
20,Austin Peay,0.03286094681117433
21,Ball State,0.04409213630542057
22,Baylor,0.0842448308561563
23,Bellarmine,0.040623726291972584
24,Belmont,0.06982042663382808
25,Bethune-Cookman,0.04657563826776099
26,Binghamton,0.032470662857501595
27,Boise State,0.05839639762821606
28,Boston College,0.05317328814556127
29,Boston University,0.05753374469258223
30,Bowling Green State,0.045690766068492615
31,Bradley,0.06142934387101244
32,Brigham Young,0.07421218793254215
33,Brown,0.06531187557710406
34,Bryant,0.048048345895781
35,Bucknell,0.052386499682505736
36,Buffalo,0.0431821048269283
37,Butler,0.050186436536774
38,Cal Poly,0.03125460619302292
39,Cal State Bakersfield,0.02367704754296103
40,Cal State Fullerton,0.03413616951729858
41,Cal State Northridge,0.032533246375152244
42,California Baptist,0.04402286032514252
43,UC-Davis,0.026830382623002757
44,UC-Irvine,0.03112726402331799
45,UC-Riverside,0.03610739590047133
46,UC-San Diego,0.0381262829843895
47,UC-Santa Barbara,0.03833544589283017
48,University of California,0.0652987620794891
49,Campbell,0.03453958273053583
50,Canisius,0.045058657527523104
51,Central Arkansas,0.040948356111626075
52,Central Connecticut State,0.04970406236681717
53,Central Florida,0.05643985109339122
54,Central Michigan,0.037309286141748076
55,Charleston Southern,0.03329472353889036
56,Charlotte,0.05163368424937117
57,Chattanooga,0.054427739949141775
58,Chicago State,0.05076269983538327
59,Cincinnati,0.07126196533402603
60,The Citadel,0.03720724593819444
61,Clemson,0.06698954953041043
62,Cleveland State,0.04391052413684433
63,Coastal Carolina,0.040584414915788486
64,Colgate,0.05209782335501026
65,College of Charleston,0.04879753727970348
66,Colorado State,0.05279872418783463
67,Colorado,0.05921258638333434
68,Columbia,0.03870483739449772
69,Connecticut,0.06762873191651575
70,Coppin State,0.05099732767551074
71,Cornell,0.044836900956432196
72,Creighton,0.06128150156066063
73,Dartmouth,0.045730332229192865
74,Davidson,0.06560819960306295
75,Dayton,0.07124180950977119
76,Delaware State,0.02143451593985982
77,Delaware,0.058143006639369915
78,Denver,0.05432477903741223
79,DePaul,0.06375876330080166
80,Detroit Mercy,0.04534559055905598
81,Dixie State,0.03664725922363152
82,Drake,0.06746797201211567
83,Drexel,0.04833573467671988
84,Duke,0.07505924665728561
85,Duquesne,0.048321287815474026
86,East Carolina,0.055513143274808704
87,East Tennessee State,0.06094823510805643
88,Eastern Illinois,0.03398390603771036
89,Eastern Kentucky,0.04537418428824895
90,Eastern Michigan,0.04408238925963726
91,Eastern Washington,0.039721309559898395
92,Elon,0.05373854104505609
93,Evansville,0.0432340482092715
94,Fairfield,0.05233108119307557
95,Fairleigh Dickinson,0.034129147457302625
96,Florida A&M,0.040730688954366275
97,Florida Atlantic,0.04789101377073002
98,Florida Gulf Coast,0.05054425124355563
99,Florida International,0.04911518571881591
100,Florida State,0.06287032669723057
101,Florida,0.07308541772170091
102,Fordham,0.050511183954603016
103,Fresno State,0.055368393320881865
104,Furman,0.06838444608836278
105,Gardner-Webb,0.04322549957305172
106,George Mason,0.054893758350165696
107,George Washington,0.048601421379638826
108,Georgetown,0.04524283143506712
109,Georgia Southern,0.03427737719461781
110,Georgia State,0.030533463190767048
111,Georgia Tech,0.05265526319797738
112,Georgia,0.061521980072907656
113,Gonzaga,0.07711553017673314
114,Grambling,0.043043690887159564
115,Grand Canyon,0.05198459290641212
116,Green Bay,0.04416827748150629
117,Hampton,0.026782181106479386
118,Hartford,0.035503285401192256
119,Harvard,0.041024917628286445
120,Hawaii,0.02961755866036436
121,High Point,0.03968791830349187
122,Hofstra,0.06450350263613372
123,Holy Cross,0.036482670496968135
124,Houston Baptist,0.026458462111338177
125,Houston,0.08245872833725434
126,Howard,0.03911010659487807
127,Idaho State,0.031431969792084576
128,Idaho,0.033774599480439906
129,Illinois-Chicago,0.04468624931895906
130,Illinois State,0.05492359114880265
131,Illinois,0.08277833088745112
132,Incarnate Word,0.03891242520934904
133,Indiana State,0.0413848951397519
134,Indiana,0.06945003077781514
135,Iona,0.06452258027533209
136,Iowa State,0.08179596876288313
137,Iowa,0.0739831871364322
138,Purdue-Fort Wayne,0.042371366016965686
139,IUPUI,0.034489796019867514
140,Jackson State,0.05500558290902684
141,Jacksonville State,0.05002858735690926
142,Jacksonville,0.03534738738713215
143,James Madison,0.04600322723851178
144,Kansas State,0.07089434696569938
145,Kansas,0.07758781101102148
146,Kennesaw State,0.04252316957467711
147,Kent State,0.04830950060154533
148,Kentucky,0.08212603119453997
149,La Salle,0.04784456198470179
150,Lafayette,0.043273472138667654
151,Lamar,0.03657654982844186
152,Lehigh,0.05306112886488237
153,Liberty,0.05266563914564312
154,Lipscomb,0.05112746765257215
155,Cal State Long Beach,0.033849692646267325
156,Long Island University,0.04873054071016226
157,Longwood,0.033457471513568836
158,Louisiana,0.04020086143937861
159,Louisiana-Monroe,0.0388908784896283
160,Louisiana State,0.08188050044779699
